date,price
2020-07-14,77.62
2020-07-15,81.18
2020-07-16,79.81
2020-07-17,78.76
2020-07-20,80.46
2020-07-21,82.54
2020-07-22,83.03
2020-07-23,82.67
2020-07-24,80.22
2020-07-27,80.06
2020-07-28,79.42
2020-07-29,79.43
2020-07-30,78.52
2020-07-31,77.75
2020-08-03,78.85
2020-08-04,79.56
2020-08-05,79.85
2020-08-06,80.75
2020-08-07,80.98
2020-08-10,80.74
2020-08-11,82.0
2020-08-12,82.42
2020-08-13,81.62
2020-08-14,82.07
2020-08-17,82.09
2020-08-18,81.43
2020-08-19,80.95
2020-08-20,79.53
2020-08-21,78.77
2020-08-24,78.73
2020-08-25,78.3
2020-08-26,77.48
2020-08-27,77.18
2020-08-28,78.54
2020-08-31,75.55
2020-09-01,76.5
2020-09-02,76.12
2020-09-03,75.23
2020-09-04,75.89
2020-09-07,76.96
2020-09-08,75.42
2020-09-09,76.08
2020-09-10,76.21
2020-09-11,76.77
2020-09-14,80.76
2020-09-15,79.24
2020-09-17,76.7
2020-09-18,76.38
2020-09-21,74.3
2020-09-22,75.28
2020-09-23,75.3
2020-09-24,76.56
2020-09-25,77.0
2020-09-28,78.47
2020-09-29,78.53
2020-09-30,78.83
2020-10-01,76.53
2020-10-02,76.96
2020-10-05,76.91
2020-10-06,76.98
2020-10-07,78.09
2020-10-08,80.34
2020-10-09,80.67
2020-10-12,79.32
2020-10-13,79.98
2020-10-14,80.06
2020-10-15,79.75
2020-10-16,78.71
2020-10-19,77.7
2020-10-20,80.3
2020-10-21,81.44
2020-10-22,80.96
2020-10-23,80.25
2020-10-26,79.03
2020-10-27,77.62
2020-10-28,76.5
2020-10-29,75.02
2020-10-30,74.59
2020-11-03,76.51
2020-11-04,75.6
2020-11-05,78.16
2020-11-06,79.74
2020-11-09,81.48
2020-11-10,83.39
2020-11-11,82.73
2020-11-12,82.8
2020-11-13,83.63
2020-11-17,86.15
2020-11-18,84.91
2020-11-19,83.56
2020-11-20,83.34
2020-11-23,84.15
2020-11-24,85.36
2020-11-25,85.11
2020-11-26,86.07
2020-11-27,85.51
2020-11-30,87.22
2020-12-01,86.68
2020-12-02,86.5
2020-12-03,85.93
2020-12-04,85.9
2020-12-07,85.16
2020-12-08,83.66
2020-12-09,82.03
2020-12-10,83.07
2020-12-11,83.73
2020-12-14,83.57
2020-12-15,83.92
2020-12-16,84.44
2020-12-17,83.85
2020-12-18,83.64
2020-12-21,82.34
2020-12-22,81.4
2020-12-23,83.19
2020-12-24,82.81
2020-12-28,84.09
2020-12-29,85.63
2020-12-30,86.2
2020-12-31,84.61
2021-01-04,86.15
2021-01-05,87.1
2021-01-06,87.22
2021-01-07,88.77
2021-01-08,89.16
2021-01-11,89.31
2021-01-12,86.7
2021-01-13,85.46
2021-01-14,84.24
2021-01-15,84.08
2021-01-18,85.04
2021-01-19,83.04
2021-01-20,83.19
2021-01-21,83.21
2021-01-22,84.49
2021-01-25,86.2
2021-01-26,85.76
2021-01-27,83.67
2021-01-28,82.98
2021-01-29,80.2
2021-02-02,81.01
2021-02-03,80.99
2021-02-04,82.5
2021-02-05,81.69
2021-02-08,81.67
2021-02-09,82.99
2021-02-10,82.78
2021-02-11,81.58
2021-02-12,82.34
2021-02-15,82.49
2021-02-16,83.15
2021-02-17,82.67
2021-02-18,81.36
2021-02-19,81.05
2021-02-22,80.32
2021-02-23,79.6
2021-02-24,79.3
2021-02-25,78.97
2021-02-26,78.57
2021-03-01,78.54
2021-03-02,79.24
2021-03-03,80.29
2021-03-04,80.5
2021-03-05,81.58
2021-03-08,81.59
2021-03-09,81.12
2021-03-10,82.05
2021-03-11,83.44
2021-03-12,84.19
2021-03-16,85.88
2021-03-17,85.5
2021-03-18,85.73
2021-03-19,87.74
2021-03-22,87.17
2021-03-23,85.47
2021-03-24,85.34
2021-03-25,85.92
2021-03-26,85.35
2021-03-29,86.65
2021-03-30,86.27
2021-03-31,83.91
2021-04-05,85.58
2021-04-06,85.67
2021-04-07,86.0
2021-04-08,87.67
2021-04-09,85.99
2021-04-12,86.28
2021-04-13,86.64
2021-04-14,91.03
2021-04-15,90.83
2021-04-16,93.28
2021-04-19,93.21
2021-04-20,94.18
2021-04-21,94.04
2021-04-22,93.78
2021-04-23,92.83
2021-04-26,93.6
2021-04-27,93.31
2021-04-28,91.6
2021-04-29,92.39
2021-04-30,90.71
2021-05-03,91.11
2021-05-04,90.55
2021-05-05,90.77
2021-05-06,92.15
2021-05-07,93.38
2021-05-10,93.37
2021-05-11,93.67
2021-05-12,92.9
2021-05-13,92.94
2021-05-14,92.9
2021-05-17,93.25
2021-05-18,93.81
2021-05-19,93.19
2021-05-20,94.68
2021-05-21,94.22
2021-05-24,94.6
2021-05-25,93.75
2021-05-26,94.76
2021-05-27,96.39
2021-05-28,96.46
2021-05-31,98.2
2021-06-01,96.84
2021-06-02,97.45
2021-06-03,97.73
2021-06-04,97.95
2021-06-07,102.49
2021-06-08,100.12
2021-06-09,100.48
2021-06-10,101.38
2021-06-11,102.94
2021-06-14,102.12
2021-06-15,100.31
2021-06-16,99.66
2021-06-17,100.43
2021-06-18,100.46
2021-06-21,101.31
2021-06-22,100.68
2021-06-23,99.33
2021-06-24,99.01
2021-06-25,98.26
2021-06-28,98.18
2021-06-29,97.83
2021-06-30,97.15
2021-07-01,96.96
2021-07-02,96.6
2021-07-05,98.47
2021-07-06,96.86
2021-07-07,94.57
2021-07-08,93.82
2021-07-09,94.8
2021-07-12,95.73
2021-07-13,95.44
2021-07-14,99.1
2021-07-15,98.97
2021-07-16,99.57
2021-07-19,97.66
2021-07-20,98.41
2021-07-21,99.56
2021-07-22,100.03
2021-07-23,99.79
2021-07-26,101.45
2021-07-27,102.45
2021-07-28,102.96
2021-07-29,102.82
2021-07-30,102.43
2021-08-02,101.97
2021-08-03,103.65
2021-08-04,102.37
2021-08-05,103.42
2021-08-06,102.51
2021-08-09,101.26
2021-08-10,102.13
2021-08-11,102.15
2021-08-12,101.83
2021-08-13,103.27
2021-08-16,103.31
2021-08-17,105.53
2021-08-18,106.83
2021-08-19,106.69
2021-08-20,109.01
2021-08-23,110.44
2021-08-24,110.28
2021-08-25,110.11
2021-08-26,111.3
2021-08-27,111.81
2021-08-30,113.36
2021-08-31,115.47
2021-09-01,111.22
2021-09-02,111.63
2021-09-03,109.95
2021-09-06,111.46
2021-09-07,111.04
2021-09-08,109.62
2021-09-09,109.41
2021-09-10,109.18
2021-09-13,109.48
2021-09-14,109.39
2021-09-15,109.9
2021-09-17,107.17
2021-09-20,105.98
2021-09-21,106.3
2021-09-22,107.4
2021-09-23,106.68
2021-09-24,105.43
2021-09-27,105.32
2021-09-28,103.92
2021-09-29,104.7
2021-09-30,105.12
2021-10-01,104.27
2021-10-04,104.21
2021-10-05,104.87
2021-10-06,103.62
2021-10-07,104.18
2021-10-08,104.5
2021-10-11,105.13
2021-10-12,105.91
2021-10-13,105.84
2021-10-14,106.48
2021-10-15,107.9
2021-10-18,107.2
2021-10-19,106.17
2021-10-20,104.71
2021-10-21,102.99
2021-10-22,101.95
2021-10-25,102.09
2021-10-26,103.18
2021-10-27,104.42
2021-10-28,103.49
2021-10-29,103.77
2021-11-01,105.27
2021-11-03,105.26
2021-11-04,105.13
2021-11-05,105.68
2021-11-08,105.26
2021-11-09,105.18
2021-11-10,105.53
2021-11-11,105.48
2021-11-12,105.55
2021-11-16,105.42
2021-11-17,104.58
2021-11-18,102.92
2021-11-19,103.06
2021-11-22,102.64
2021-11-23,104.86
