date,price
2020-01-08,71.19
2020-01-09,70.77
2020-01-10,72.7
2020-01-13,74.24
2020-01-14,74.09
2020-01-15,71.98
2020-01-16,74.39
2020-01-17,77.17
2020-01-20,76.49
2020-01-21,75.88
2020-01-22,76.13
2020-01-23,74.3
2020-01-24,73.18
2020-01-27,71.64
2020-01-28,72.86
2020-01-29,73.53
2020-01-30,72.28
2020-01-31,70.18
2020-02-04,73.98
2020-02-05,72.82
2020-02-06,72.08
2020-02-07,71.84
2020-02-10,71.59
2020-02-11,72.97
2020-02-12,71.26
2020-02-13,69.63
2020-02-14,69.75
2020-02-17,69.98
2020-02-18,69.51
2020-02-19,68.59
2020-02-20,67.77
2020-02-21,67.81
2020-02-24,67.22
2020-02-25,65.84
2020-02-26,63.16
2020-02-27,61.22
2020-02-28,62.27
2020-03-02,63.81
2020-03-03,65.77
2020-03-04,66.58
2020-03-05,64.47
2020-03-06,62.11
2020-03-09,56.84
2020-03-10,58.72
2020-03-11,57.63
2020-03-12,55.19
2020-03-13,55.45
2020-03-17,52.76
2020-03-18,50.53
2020-03-19,50.99
2020-03-20,48.63
2020-03-23,46.74
2020-03-24,49.04
2020-03-25,51.12
2020-03-26,53.11
2020-03-27,49.18
2020-03-30,49.03
2020-03-31,52.48
2020-04-01,49.52
2020-04-02,48.79
2020-04-03,48.62
2020-04-06,51.0
2020-04-07,52.29
2020-04-08,51.77
2020-04-13,53.46
2020-04-14,54.34
2020-04-15,52.79
2020-04-16,52.25
2020-04-17,54.32
2020-04-20,54.33
2020-04-21,52.95
2020-04-22,53.56
2020-04-23,54.89
2020-04-24,54.11
2020-04-27,55.52
2020-04-28,57.29
2020-04-29,59.64
2020-04-30,58.9
2020-05-04,58.73
2020-05-05,59.63
2020-05-06,59.72
2020-05-07,59.85
2020-05-08,60.68
2020-05-11,60.44
2020-05-12,59.85
2020-05-13,56.65
2020-05-14,56.29
2020-05-15,56.62
2020-05-18,58.58
2020-05-19,57.75
2020-05-20,59.02
2020-05-21,58.8
2020-05-22,58.62
2020-05-25,58.22
2020-05-26,58.48
2020-05-27,59.99
2020-05-28,60.13
2020-05-29,59.05
2020-06-01,60.88
2020-06-02,63.08
2020-06-03,64.39
2020-06-04,64.07
2020-06-05,66.37
2020-06-08,67.99
2020-06-09,66.89
2020-06-10,65.73
2020-06-11,64.3
2020-06-12,66.16
2020-06-15,63.42
2020-06-16,65.63
2020-06-17,65.29
2020-06-18,65.25
2020-06-19,66.9
2020-06-22,66.92
2020-06-23,66.84
2020-06-24,66.14
2020-06-25,66.42
2020-06-26,66.02
2020-06-29,67.06
2020-06-30,67.7
2020-07-01,66.76
2020-07-02,67.85
2020-07-03,67.77
2020-07-06,68.4
2020-07-07,68.51
2020-07-08,68.42
2020-07-09,67.49
2020-07-10,66.57
2020-07-13,68.89
2020-07-14,67.97
2020-07-15,69.08
2020-07-16,68.57
2020-07-17,68.22
2020-07-20,68.4
2020-07-21,68.39
2020-07-22,70.94
2020-07-23,71.57
2020-07-24,72.48
2020-07-27,75.65
2020-07-28,76.57
2020-07-29,75.95
2020-07-30,73.38
2020-07-31,73.17
2020-08-03,74.62
2020-08-04,76.07
2020-08-05,79.81
2020-08-06,79.6
2020-08-07,78.17
2020-08-10,78.45
2020-08-11,77.82
2020-08-12,77.09
2020-08-13,77.79
2020-08-14,78.12
2020-08-17,79.15
2020-08-18,78.52
2020-08-19,79.54
2020-08-20,79.04
2020-08-21,77.6
2020-08-24,77.46
2020-08-25,77.77
2020-08-26,77.73
2020-08-27,76.79
2020-08-28,77.09
2020-08-31,75.6
2020-09-01,78.0
2020-09-02,77.47
2020-09-03,75.41
2020-09-04,76.34
2020-09-07,76.27
2020-09-08,74.64
2020-09-09,75.7
2020-09-10,77.14
2020-09-11,79.08
2020-09-14,78.99
2020-09-15,79.1
2020-09-17,78.01
2020-09-18,76.64
2020-09-21,74.78
2020-09-22,76.19
2020-09-23,75.05
2020-09-24,75.21
2020-09-25,75.87
2020-09-28,76.9
2020-09-29,76.79
2020-09-30,78.77
2020-10-01,76.2
2020-10-02,76.29
2020-10-05,77.39
2020-10-06,77.33
2020-10-07,79.33
2020-10-08,81.89
2020-10-09,81.01
2020-10-12,80.26
2020-10-13,80.24
2020-10-14,80.79
2020-10-15,81.6
2020-10-16,81.07
2020-10-19,80.61
2020-10-20,82.41
2020-10-21,83.59
2020-10-22,83.3
2020-10-23,83.49
2020-10-26,81.84
2020-10-27,82.51
2020-10-28,81.41
2020-10-29,80.7
2020-10-30,81.76
2020-11-03,83.19
2020-11-04,81.17
2020-11-05,82.69
2020-11-06,82.31
2020-11-09,82.93
2020-11-10,85.03
2020-11-11,84.93
2020-11-12,84.38
2020-11-13,85.67
2020-11-17,87.53
2020-11-18,88.73
2020-11-19,86.94
2020-11-20,86.69
2020-11-23,87.92
2020-11-24,90.5
2020-11-25,90.45
2020-11-26,91.5
2020-11-27,89.84
2020-11-30,90.9
2020-12-01,95.1
2020-12-02,97.78
2020-12-03,101.54
2020-12-04,101.71
2020-12-07,101.22
2020-12-08,100.8
2020-12-09,98.55
2020-12-10,100.97
2020-12-11,100.18
2020-12-14,99.12
2020-12-15,101.18
2020-12-16,101.08
2020-12-17,103.42
2020-12-18,102.83
2020-12-21,102.63
2020-12-22,99.85
2020-12-23,102.58
2020-12-24,101.58
2020-12-28,103.79
2020-12-29,104.64
2020-12-30,104.92
2020-12-31,102.98
2021-01-04,107.22
2021-01-05,109.29
2021-01-06,112.39
2021-01-07,113.85
