date,price
2019-11-06,88.75
2019-11-07,89.45
2019-11-08,88.4
2019-11-11,88.6
2019-11-12,88.2
2019-11-13,88.11
2019-11-14,87.96
2019-11-15,87.95
2019-11-19,88.83
2019-11-20,88.73
2019-11-21,87.15
2019-11-22,87.82
2019-11-25,88.64
2019-11-26,87.35
2019-11-27,88.11
2019-11-28,88.09
2019-11-29,87.23
2019-12-02,86.39
2019-12-03,86.88
2019-12-04,86.35
2019-12-05,85.79
2019-12-06,85.6
2019-12-09,85.74
2019-12-10,87.77
2019-12-11,88.91
2019-12-13,94.39
2019-12-16,95.88
2019-12-17,94.05
2019-12-18,94.9
2019-12-19,94.6
2019-12-20,94.29
2019-12-23,93.46
2019-12-24,93.77
2019-12-26,94.09
2019-12-27,93.53
2019-12-30,92.97
2019-12-31,92.64
2020-01-02,94.45
2020-01-03,95.08
2020-01-06,94.43
2020-01-07,94.32
2020-01-08,95.93
2020-01-09,96.19
2020-01-10,96.64
2020-01-13,97.37
2020-01-14,97.46
2020-01-15,98.42
2020-01-16,99.11
2020-01-17,99.45
2020-01-20,98.62
2020-01-21,98.75
2020-01-22,98.59
2020-01-23,98.03
2020-01-24,97.0
2020-01-27,94.38
2020-01-28,95.42
2020-01-29,95.64
2020-01-30,95.62
2020-01-31,94.54
2020-02-04,95.57
2020-02-05,95.36
2020-02-06,95.21
2020-02-07,94.65
2020-02-10,94.31
2020-02-11,97.31
2020-02-12,97.0
2020-02-13,95.38
2020-02-14,94.88
2020-02-17,95.06
2020-02-18,95.0
2020-02-19,96.56
2020-02-20,96.4
2020-02-21,96.48
2020-02-24,93.2
2020-02-25,89.97
2020-02-26,88.73
2020-02-27,84.54
2020-02-28,84.63
2020-03-02,84.91
2020-03-03,85.07
2020-03-04,87.04
2020-03-05,84.85
2020-03-06,82.29
2020-03-09,78.3
2020-03-10,80.18
2020-03-11,76.85
2020-03-12,69.83
2020-03-13,70.88
2020-03-17,65.9
2020-03-18,59.63
2020-03-19,56.55
2020-03-20,57.0
2020-03-23,52.65
2020-03-24,57.26
2020-03-25,59.94
2020-03-26,61.87
2020-03-27,58.87
2020-03-30,57.94
2020-03-31,56.29
2020-04-01,54.15
2020-04-02,54.3
